State of Residence,County of Residence,Year,Births,Birth Rate,Fertility Rate
Idaho,"Bonneville County, ID",,7435,32.78,166.22
Idaho,"Canyon County, ID",2016,3129,14.78,73.47
Idaho,"Canyon County, ID",2017,3065,14.14,70.33
Idaho,"Canyon County, ID",2018,2918,Not Available,Not Available
Idaho,"Canyon County, ID",2019,3046,Not Available,Not Available
Idaho,"Canyon County, ID",,12158,28.38,141.09
Idaho,"Kootenai County, ID",2016,1754,11.37,62.94
Idaho,"Kootenai County, ID",2017,1811,11.49,63.77
Idaho,"Kootenai County, ID",2018,1732,Not Available,Not Available
Idaho,"Kootenai County, ID",2019,1861,Not Available,Not Available
Idaho,"Kootenai County, ID",,7158,22.95,127.21
Idaho,"Unidentified Counties, ID",2016,10644,13.99,75.48
Idaho,"Unidentified Counties, ID",2017,10587,13.73,74
Idaho,"Unidentified Counties, ID",2018,10077,5.74,29.85
Idaho,"Unidentified Counties, ID",2019,10393,5.82,30.14
Idaho,"Unidentified Counties, ID",,41701,8.22,43.14
Idaho,,,88129,12.7,66.09
Illinois,"Champaign County, IL",2016,2395,11.49,45.88
Illinois,"Champaign County, IL",2017,2295,10.96,44
Illinois,"Champaign County, IL",2018,2254,Not Available,Not Available
Illinois,"Champaign County, IL",2019,2230,Not Available,Not Available
Illinois,"Champaign County, IL",,9174,21.96,87.9
Illinois,"Cook County, IL",2016,66779,12.83,59.88
Illinois,"Cook County, IL",2017,64374,12.35,58.16
Illinois,"Cook County, IL",2018,61797,Not Available,Not Available
Illinois,"Cook County, IL",2019,59031,Not Available,Not Available
Illinois,"Cook County, IL",,251981,24.19,113.4
Illinois,"DeKalb County, IL",2016,1093,10.46,43.67
Illinois,"DeKalb County, IL",2017,1142,10.9,45.7
Illinois,"DeKalb County, IL",2018,1092,Not Available,Not Available
Illinois,"DeKalb County, IL",2019,1143,Not Available,Not Available
Illinois,"DeKalb County, IL",,4470,21.36,89.37
Illinois,"DuPage County, IL",2016,10832,11.66,61.17
Illinois,"DuPage County, IL",2017,10337,11.11,58.71
Illinois,"DuPage County, IL",2018,10298,Not Available,Not Available
Illinois,"DuPage County, IL",2019,9988,Not Available,Not Available
Illinois,"DuPage County, IL",,41455,22.29,117.39
Illinois,"Kane County, IL",2016,6710,12.62,64.99
Illinois,"Kane County, IL",2017,6339,11.86,61.43
Illinois,"Kane County, IL",2018,6337,Not Available,Not Available
Illinois,"Kane County, IL",2019,5976,Not Available,Not Available
Illinois,"Kane County, IL",,25362,23.78,122.85
Illinois,"Kankakee County, IL",2016,1354,12.31,63.45
Illinois,"Kankakee County, IL",2017,1289,11.76,61.03
Illinois,"Kankakee County, IL",2018,1237,Not Available,Not Available
Illinois,"Kankakee County, IL",2019,1256,Not Available,Not Available
Illinois,"Kankakee County, IL",,5136,23.39,120.97
Illinois,"Kendall County, IL",2016,1595,12.79,59.7
Illinois,"Kendall County, IL",2017,1481,11.73,55.26
Illinois,"Kendall County, IL",2018,1516,Not Available,Not Available
Illinois,"Kendall County, IL",2019,1548,Not Available,Not Available
Illinois,"Kendall County, IL",,6140,24.47,114.72
Illinois,"Lake County, IL",2016,7660,10.9,58.25
Illinois,"Lake County, IL",2017,7607,10.81,58.13
Illinois,"Lake County, IL",2018,7095,Not Available,Not Available
Illinois,"Lake County, IL",2019,6986,Not Available,Not Available
Illinois,"Lake County, IL",,29348,20.86,111.86
Illinois,"LaSalle County, IL",2016,1262,11.41,67.93
Illinois,"LaSalle County, IL",2017,1180,10.72,63.85
Illinois,"LaSalle County, IL",2018,1092,Not Available,Not Available
Illinois,"LaSalle County, IL",2019,1130,Not Available,Not Available
Illinois,"LaSalle County, IL",,4664,21.13,125.85
Illinois,"McHenry County, IL",2016,3090,10.07,55.06
Illinois,"McHenry County, IL",2017,3185,10.3,56.89
Illinois,"McHenry County, IL",2018,2987,Not Available,Not Available
Illinois,"McHenry County, IL",2019,3063,Not Available,Not Available
Illinois,"McHenry County, IL",,12325,20,109.94
Illinois,"McLean County, IL",2016,2020,11.72,49.72
Illinois,"McLean County, IL",2017,2004,11.63,49.47
Illinois,"McLean County, IL",2018,1817,Not Available,Not Available
Illinois,"McLean County, IL",2019,1769,Not Available,Not Available
Illinois,"McLean County, IL",,7610,22.08,93.8
Illinois,"Macon County, IL",2016,1327,12.45,66.85
Illinois,"Macon County, IL",2017,1298,12.27,66.02
Illinois,"Macon County, IL",2018,1269,Not Available,Not Available
Illinois,"Macon County, IL",2019,1253,Not Available,Not Available
Illinois,"Macon County, IL",,5147,24.24,130.26
Illinois,"Madison County, IL",2016,3051,11.48,60.6
Illinois,"Madison County, IL",2017,2892,10.9,57.74
Illinois,"Madison County, IL",2018,2865,Not Available,Not Available
Illinois,"Madison County, IL",2019,2747,Not Available,Not Available
Illinois,"Madison County, IL",,11555,21.75,115.05
Illinois,"Peoria County, IL",2016,2536,13.71,69.51
Illinois,"Peoria County, IL",2017,2533,13.84,70.99
Illinois,"Peoria County, IL",2018,2504,Not Available,Not Available
Illinois,"Peoria County, IL",2019,2354,Not Available,Not Available
Illinois,"Peoria County, IL",,9927,26.97,137.56
Illinois,"Rock Island County, IL",2016,1776,12.27,68.25
Illinois,"Rock Island County, IL",2017,1668,11.52,64.48
Illinois,"Rock Island County, IL",2018,1731,Not Available,Not Available
Illinois,"Rock Island County, IL",2019,1626,Not Available,Not Available
Illinois,"Rock Island County, IL",,6801,23.48,131.06
Illinois,"St. Clair County, IL",2016,3228,12.29,63.04
Illinois,"St. Clair County, IL",2017,3221,12.27,63.36
Illinois,"St. Clair County, IL",2018,3109,Not Available,Not Available
Illinois,"St. Clair County, IL",2019,3008,Not Available,Not Available
Illinois,"St. Clair County, IL",,12566,23.92,123.15
Illinois,"Sangamon County, IL",2016,2245,11.37,60.08
Illinois,"Sangamon County, IL",2017,2289,11.65,61.68
Illinois,"Sangamon County, IL",2018,2240,Not Available,Not Available
Illinois,"Sangamon County, IL",2019,2099,Not Available,Not Available
Illinois,"Sangamon County, IL",,8873,22.52,119.13
Illinois,"Tazewell County, IL",2016,1496,11.13,62.94
Illinois,"Tazewell County, IL",2017,1450,10.86,61.46
Illinois,"Tazewell County, IL",2018,1391,Not Available,Not Available
Illinois,"Tazewell County, IL",2019,1350,Not Available,Not Available
Illinois,"Tazewell County, IL",,5687,21.23,120.08
Illinois,"Will County, IL",2016,7804,11.32,57.74
Illinois,"Will County, IL",2017,7427,10.72,55.05
Illinois,"Will County, IL",2018,7318,Not Available,Not Available
Illinois,"Will County, IL",2019,7216,Not Available,Not Available
Illinois,"Will County, IL",,29765,21.53,110.21
Illinois,"Winnebago County, IL",2016,3711,12.98,69.74
Illinois,"Winnebago County, IL",2017,3501,12.29,66.51
Illinois,"Winnebago County, IL",2018,3497,Not Available,Not Available
Illinois,"Winnebago County, IL",2019,3448,Not Available,Not Available
Illinois,"Winnebago County, IL",,14157,24.81,133.75
Illinois,"Unidentified Counties, IL",2016,22481,11.11,64.49
Illinois,"Unidentified Counties, IL",2017,21878,10.87,63.49
Illinois,"Unidentified Counties, IL",2018,21369,1.68,8.49
Illinois,"Unidentified Counties, IL",2019,20907,1.65,8.37
Illinois,"Unidentified Counties, IL",,86635,2.94,15.18
Illinois,,,588778,11.54,58.32
Indiana,"Allen County, IN",2016,5151,13.91,69.71
Indiana,"Allen County, IN",2017,5206,13.96,70.01
Indiana,"Allen County, IN",2018,5240,Not Available,Not Available
Indiana,"Allen County, IN",2019,5302,Not Available,Not Available
Indiana,"Allen County, IN",,20899,28.12,140.96
Indiana,"Clark County, IN",2016,1448,12.48,64.41
Indiana,"Clark County, IN",2017,1474,12.6,65.44
Indiana,"Clark County, IN",2018,1396,Not Available,Not Available
Indiana,"Clark County, IN",2019,1411,Not Available,Not Available
Indiana,"Clark County, IN",,5729,24.59,127.3
Indiana,"Delaware County, IN",2016,1174,10.16,44.68
Indiana,"Delaware County, IN",2017,1126,9.78,43.33
Indiana,"Delaware County, IN",2018,1072,Not Available,Not Available
Indiana,"Delaware County, IN",2019,1052,Not Available,Not Available
Indiana,"Delaware County, IN",,4424,19.17,84.64
Indiana,"Elkhart County, IN",2016,3126,15.34,80.55
Indiana,"Elkhart County, IN",2017,3087,15.06,79.36
Indiana,"Elkhart County, IN",2018,3117,Not Available,Not Available
Indiana,"Elkhart County, IN",2019,3032,Not Available,Not Available
Indiana,"Elkhart County, IN",,12362,30.24,159.08
Indiana,"Hamilton County, IN",2016,3798,12,60.03
Indiana,"Hamilton County, IN",2017,3835,11.85,59.37
Indiana,"Hamilton County, IN",2018,3724,Not Available,Not Available
Indiana,"Hamilton County, IN",2019,3683,Not Available,Not Available
Indiana,"Hamilton County, IN",,15040,23.5,117.62
Indiana,"Hendricks County, IN",2016,1760,10.96,56.83
Indiana,"Hendricks County, IN",2017,1720,10.51,54.84
Indiana,"Hendricks County, IN",2018,1619,Not Available,Not Available
Indiana,"Hendricks County, IN",2019,1656,Not Available,Not Available
Indiana,"Hendricks County, IN",,6755,20.83,108.36
Indiana,"Johnson County, IN",2016,1871,12.31,62.59
Indiana,"Johnson County, IN",2017,1814,11.79,59.53
Indiana,"Johnson County, IN",2018,1877,Not Available,Not Available
Indiana,"Johnson County, IN",2019,1852,Not Available,Not Available
Indiana,"Johnson County, IN",,7414,24.24,122.82
Indiana,"Lake County, IN",2016,5657,11.64,60.48
Indiana,"Lake County, IN",2017,5601,11.53,60.36
Indiana,"Lake County, IN",2018,5785,Not Available,Not Available
Indiana,"Lake County, IN",2019,5682,Not Available,Not Available
Indiana,"Lake County, IN",,22725,23.39,121.97
Indiana,"La Porte County, IN",2016,1305,11.86,70.48
Indiana,"La Porte County, IN",2017,1272,11.56,69.71
Indiana,"La Porte County, IN",2018,1271,Not Available,Not Available
Indiana,"La Porte County, IN",2019,1175,Not Available,Not Available
Indiana,"La Porte County, IN",,5023,22.83,136.63
Indiana,"Madison County, IN",2016,1506,11.65,64.38
Indiana,"Madison County, IN",2017,1396,10.78,60.11
Indiana,"Madison County, IN",2018,1409,Not Available,Not Available
Indiana,"Madison County, IN",2019,1415,Not Available,Not Available
Indiana,"Madison County, IN",,5726,22.13,122.83
Indiana,"Marion County, IN",2016,14294,15.19,69.22
Indiana,"Marion County, IN",2017,14389,15.15,69.06
Indiana,"Marion County, IN",2018,14036,Not Available,Not Available
Indiana,"Marion County, IN",2019,14048,Not Available,Not Available
Indiana,"Marion County, IN",,56767,30.01,136.83
Indiana,"Monroe County, IN",2016,1301,8.94,33.36
Indiana,"Monroe County, IN",2017,1249,8.5,31.97
Indiana,"Monroe County, IN",2018,1246,Not Available,Not Available
Indiana,"Monroe County, IN",2019,1084,Not Available,Not Available
Indiana,"Monroe County, IN",,4880,16.68,62.51
Indiana,"Porter County, IN",2016,1750,10.43,54.69
Indiana,"Porter County, IN",2017,1642,9.75,51.21
Indiana,"Porter County, IN",2018,1677,Not Available,Not Available
Indiana,"Porter County, IN",2019,1643,Not Available,Not Available
Indiana,"Porter County, IN",,6712,19.96,104.77
Indiana,"St. Joseph County, IN",2016,3577,13.29,65.5
Indiana,"St. Joseph County, IN",2017,3497,12.93,63.73
Indiana,"St. Joseph County, IN",2018,3538,Not Available,Not Available
Indiana,"St. Joseph County, IN",2019,3436,Not Available,Not Available
Indiana,"St. Joseph County, IN",,14048,26.04,128.31
Indiana,"Tippecanoe County, IN",2016,2359,12.54,52.13
Indiana,"Tippecanoe County, IN",2017,2240,11.75,48.92
Indiana,"Tippecanoe County, IN",2018,2158,Not Available,Not Available
Indiana,"Tippecanoe County, IN",2019,2067,Not Available,Not Available
Indiana,"Tippecanoe County, IN",,8824,23.3,96.92
Indiana,"Vanderburgh County, IN",2016,2269,12.49,62.21
Indiana,"Vanderburgh County, IN",2017,2128,11.72,58.82
Indiana,"Vanderburgh County, IN",2018,2115,Not Available,Not Available
Indiana,"Vanderburgh County, IN",2019,2175,Not Available,Not Available
Indiana,"Vanderburgh County, IN",,8687,23.91,119.57
Indiana,"Vigo County, IN",2016,1288,11.93,59.9
Indiana,"Vigo County, IN",2017,1224,11.38,57.51
Indiana,"Vigo County, IN",2018,1131,Not Available,Not Available
Indiana,"Vigo County, IN",2019,1188,Not Available,Not Available
Indiana,"Vigo County, IN",,4831,22.42,112.91
Indiana,"Unidentified Counties, IN",2016,29457,11.92,67.44
Indiana,"Unidentified Counties, IN",2017,29270,11.83,67.21
Indiana,"Unidentified Counties, IN",2018,29235,4.37,22.5
Indiana,"Unidentified Counties, IN",2019,28958,4.3,22.1
Indiana,"Unidentified Counties, IN",,116920,6.36,33.58
Indiana,,,327766,12.26,63.05
Iowa,"Black Hawk County, IA",2016,1671,12.57,58.58
Iowa,"Black Hawk County, IA",2017,1732,13.06,60.78
Iowa,"Black Hawk County, IA",2018,1632,Not Available,Not Available
Iowa,"Black Hawk County, IA",2019,1645,Not Available,Not Available
Iowa,"Black Hawk County, IA",,6680,25.16,117.15
Iowa,"Johnson County, IA",2016,1857,12.67,49.36
Iowa,"Johnson County, IA",2017,1751,11.74,45.56
Iowa,"Johnson County, IA",2018,1735,Not Available,Not Available
Iowa,"Johnson County, IA",2019,1738,Not Available,Not Available
Iowa,"Johnson County, IA",,7081,23.94,93.1
Iowa,"Linn County, IA",2016,2800,12.63,64.23
Iowa,"Linn County, IA",2017,2799,12.49,63.4
Iowa,"Linn County, IA",2018,2731,Not Available,Not Available
Iowa,"Linn County, IA",2019,2738,Not Available,Not Available
Iowa,"Linn County, IA",,11068,24.83,126.14
Iowa,"Polk County, IA",2016,6921,14.6,70.21
Iowa,"Polk County, IA",2017,6943,14.41,69.33
Iowa,"Polk County, IA",2018,6655,Not Available,Not Available
Iowa,"Polk County, IA",2019,6551,Not Available,Not Available
Iowa,"Polk County, IA",,27070,28.32,136.22
Iowa,"Scott County, IA",2016,2213,12.83,66.75
Iowa,"Scott County, IA",2017,2117,12.27,64.22
Iowa,"Scott County, IA",2018,2096,Not Available,Not Available
Iowa,"Scott County, IA",2019,2086,Not Available,Not Available
Iowa,"Scott County, IA",,8512,24.67,128.74
Iowa,"Woodbury County, IA",2016,1549,15.07,77.72
Iowa,"Woodbury County, IA",2017,1416,13.82,71.34
Iowa,"Woodbury County, IA",2018,1393,Not Available,Not Available
Iowa,"Woodbury County, IA",2019,1483,Not Available,Not Available
Iowa,"Woodbury County, IA",,5841,28.46,146.83
Iowa,"Unidentified Counties, IA",2016,22392,11.88,68.29
Iowa,"Unidentified Counties, IA",2017,21672,11.51,66.02
Iowa,"Unidentified Counties, IA",2018,21543,6.83,36.21
Iowa,"Unidentified Counties, IA",2019,21408,6.79,36.02
Iowa,"Unidentified Counties, IA",,87015,8.63,47.15
Iowa,,,153267,12.17,64.65
Kansas,"Douglas County, KS",2016,1177,9.85,37.88
Kansas,"Douglas County, KS",2017,1134,9.39,36.37
Kansas,"Douglas County, KS",2018,1116,Not Available,Not Available
Kansas,"Douglas County, KS",2019,1090,Not Available,Not Available
Kansas,"Douglas County, KS",,4517,18.8,72.56
Kansas,"Johnson County, KS",2016,7360,12.59,63.65
Kansas,"Johnson County, KS",2017,7223,12.22,61.88
Kansas,"Johnson County, KS",2018,7140,Not Available,Not Available
Kansas,"Johnson County, KS",2019,6948,Not Available,Not Available
Kansas,"Johnson County, KS",,28671,24.39,123.4
Kansas,"Sedgwick County, KS",2016,7309,14.28,71.89
Kansas,"Sedgwick County, KS",2017,6924,13.48,68.18
Kansas,"Sedgwick County, KS",2018,6733,Not Available,Not Available
Kansas,"Sedgwick County, KS",2019,6737,Not Available,Not Available
Kansas,"Sedgwick County, KS",,27703,27.01,136.31
Kansas,"Shawnee County, KS",2016,2189,12.29,66.55
Kansas,"Shawnee County, KS",2017,2074,11.64,63.02
Kansas,"Shawnee County, KS",2018,2123,Not Available,Not Available
Kansas,"Shawnee County, KS",2019,2112,Not Available,Not Available
Kansas,"Shawnee County, KS",,8498,23.85,129.14
Kansas,"Wyandotte County, KS",2016,2695,16.45,81.19
Kansas,"Wyandotte County, KS",2017,2541,15.37,76.3
Kansas,"Wyandotte County, KS",2018,2614,Not Available,Not Available
Kansas,"Wyandotte County, KS",2019,2610,Not Available,Not Available
Kansas,"Wyandotte County, KS",,10460,31.78,157.31
Kansas,"Unidentified Counties, KS",2016,17323,12.84,70.94
Kansas,"Unidentified Counties, KS",2017,16623,12.37,68.43
Kansas,"Unidentified Counties, KS",2018,16535,5.68,29.52
Kansas,"Unidentified Counties, KS",2019,15898,5.46,28.29
Kansas,"Unidentified Counties, KS",,66379,7.79,41.25
Kansas,,,146228,12.56,65.3
Kentucky,"Boone County, KY",2016,1681,13.08,67.8
Kentucky,"Boone County, KY",2017,1716,13.13,68.11
Kentucky,"Boone County, KY",2018,1695,Not Available,Not Available
Kentucky,"Boone County, KY",2019,1664,Not Available,Not Available
Kentucky,"Boone County, KY",,6756,26.06,135.16
Kentucky,"Fayette County, KY",2016,4090,12.84,55.99
Kentucky,"Fayette County, KY",2017,3912,12.15,53.19
Kentucky,"Fayette County, KY",2018,3921,Not Available,Not Available
Kentucky,"Fayette County, KY",2019,3829,Not Available,Not Available
Kentucky,"Fayette County, KY",,15752,24.6,107.45
Kentucky,"Hardin County, KY",2016,1441,13.43,70.6
Kentucky,"Hardin County, KY",2017,1449,13.41,70.39
Kentucky,"Hardin County, KY",2018,1431,Not Available,Not Available
Kentucky,"Hardin County, KY",2019,1342,Not Available,Not Available
Kentucky,"Hardin County, KY",,5663,26.29,138.14
Kentucky,"Jefferson County, KY",2016,9889,12.92,65.1
Kentucky,"Jefferson County, KY",2017,9908,12.85,64.78
Kentucky,"Jefferson County, KY",2018,9584,Not Available,Not Available
Kentucky,"Jefferson County, KY",2019,9560,Not Available,Not Available
Kentucky,"Jefferson County, KY",,38941,25.34,127.74
Kentucky,"Kenton County, KY",2016,2329,14.12,72.22
Kentucky,"Kenton County, KY",2017,2331,14.09,72.26
Kentucky,"Kenton County, KY",2018,2191,Not Available,Not Available
Kentucky,"Kenton County, KY",2019,2205,Not Available,Not Available
Kentucky,"Kenton County, KY",,9056,27.41,140.39
Kentucky,"Warren County, KY",2016,1640,13.06,57.21
Kentucky,"Warren County, KY",2017,1714,13.3,58.25
Kentucky,"Warren County, KY",2018,1732,Not Available,Not Available
Kentucky,"Warren County, KY",2019,1738,Not Available,Not Available
Kentucky,"Warren County, KY",,6824,26.83,117.47
Kentucky,"Unidentified Counties, KY",2016,34379,12.16,66.45
Kentucky,"Unidentified Counties, KY",2017,33722,11.92,65.54
Kentucky,"Unidentified Counties, KY",2018,33368,7.47,39.27
Kentucky,"Unidentified Counties, KY",2019,32731,7.33,38.6
Kentucky,"Unidentified Counties, KY",,134200,9.2,49.16
Kentucky,,,217192,12.18,63.98
Louisiana,"Ascension Parish, LA",2016,1751,14.4,69.99
Louisiana,"Ascension Parish, LA",2017,1704,13.86,67.74
Louisiana,"Ascension Parish, LA",2018,1687,Not Available,Not Available
Louisiana,"Ascension Parish, LA",2019,1656,Not Available,Not Available
Louisiana,"Ascension Parish, LA",,6798,27.8,135.49
Louisiana,"Bossier Parish, LA",2016,1751,13.89,68.29
Louisiana,"Bossier Parish, LA",2017,1627,12.75,62.81
Louisiana,"Bossier Parish, LA",2018,1693,Not Available,Not Available
Louisiana,"Bossier Parish, LA",2019,1654,Not Available,Not Available
Louisiana,"Bossier Parish, LA",,6725,26.51,130.48
Louisiana,"Caddo Parish, LA",2016,3364,13.52,67.54
Louisiana,"Caddo Parish, LA",2017,3231,13.1,66.38
Louisiana,"Caddo Parish, LA",2018,3072,Not Available,Not Available
Louisiana,"Caddo Parish, LA",2019,3151,Not Available,Not Available
Louisiana,"Caddo Parish, LA",,12818,25.87,130.16
Louisiana,"Calcasieu Parish, LA",2016,3034,15.12,75.34
Louisiana,"Calcasieu Parish, LA",2017,2987,14.75,73.72
Louisiana,"Calcasieu Parish, LA",2018,3057,Not Available,Not Available
Louisiana,"Calcasieu Parish, LA",2019,2970,Not Available,Not Available
Louisiana,"Calcasieu Parish, LA",,12048,29.89,149.12
Louisiana,"East Baton Rouge Parish, LA",2016,6125,13.7,60.39
Louisiana,"East Baton Rouge Parish, LA",2017,5975,13.39,59.39
Louisiana,"East Baton Rouge Parish, LA",2018,5780,Not Available,Not Available
Louisiana,"East Baton Rouge Parish, LA",2019,5730,Not Available,Not Available
Louisiana,"East Baton Rouge Parish, LA",,23610,26.43,116.86
Louisiana,"Jefferson Parish, LA",2016,5887,13.49,69.87
Louisiana,"Jefferson Parish, LA",2017,5835,13.29,68.86
Louisiana,"Jefferson Parish, LA",2018,5649,Not Available,Not Available
Louisiana,"Jefferson Parish, LA",2019,5755,Not Available,Not Available
Louisiana,"Jefferson Parish, LA",,23126,26.41,136.84
Louisiana,"Lafayette Parish, LA",2016,3369,13.96,64.48
Louisiana,"Lafayette Parish, LA",2017,3339,13.77,64.17
Louisiana,"Lafayette Parish, LA",2018,3242,Not Available,Not Available
Louisiana,"Lafayette Parish, LA",2019,3203,Not Available,Not Available
Louisiana,"Lafayette Parish, LA",,13153,27.18,126.12
Louisiana,"Livingston Parish, LA",2016,1921,13.71,66.43
Louisiana,"Livingston Parish, LA",2017,1828,13.22,64.56
Louisiana,"Livingston Parish, LA",2018,1771,Not Available,Not Available
Louisiana,"Livingston Parish, LA",2019,1765,Not Available,Not Available
Louisiana,"Livingston Parish, LA",,7285,26.17,127.29
Louisiana,"Orleans Parish, LA",2016,4835,12.35,53.67
Louisiana,"Orleans Parish, LA",2017,4619,11.74,51.51
Louisiana,"Orleans Parish, LA",2018,4656,Not Available,Not Available
Louisiana,"Orleans Parish, LA",2019,4664,Not Available,Not Available
Louisiana,"Orleans Parish, LA",,18774,23.92,104.44
Louisiana,"Ouachita Parish, LA",2016,2224,14.17,67.42
Louisiana,"Ouachita Parish, LA",2017,2152,13.81,66.57
Louisiana,"Ouachita Parish, LA",2018,2063,Not Available,Not Available
Louisiana,"Ouachita Parish, LA",2019,2052,Not Available,Not Available
Louisiana,"Ouachita Parish, LA",,8491,27.14,130
Louisiana,"Rapides Parish, LA",2016,1840,13.89,71.96
Louisiana,"Rapides Parish, LA",2017,1724,13.1,67.95
Louisiana,"Rapides Parish, LA",2018,1717,Not Available,Not Available
Louisiana,"Rapides Parish, LA",2019,1638,Not Available,Not Available
Louisiana,"Rapides Parish, LA",,6919,26.2,135.82
Louisiana,"St. Tammany Parish, LA",2016,3089,12.18,66.26
Louisiana,"St. Tammany Parish, LA",2017,2865,11.18,60.81
Louisiana,"St. Tammany Parish, LA",2018,2932,Not Available,Not Available
Louisiana,"St. Tammany Parish, LA",2019,2859,Not Available,Not Available
Louisiana,"St. Tammany Parish, LA",,11745,23.03,125.3
Louisiana,"Tangipahoa Parish, LA",2016,1984,15.18,72.16
Louisiana,"Tangipahoa Parish, LA",2017,1986,14.99,72.01
Louisiana,"Tangipahoa Parish, LA",2018,1916,Not Available,Not Available
Louisiana,"Tangipahoa Parish, LA",2019,1882,Not Available,Not Available
Louisiana,"Tangipahoa Parish, LA",,7768,29.51,141.05
Louisiana,"Terrebonne Parish, LA",2016,1570,13.87,70.57
Louisiana,"Terrebonne Parish, LA",2017,1544,13.78,70.51
Louisiana,"Terrebonne Parish, LA",2018,1506,Not Available,Not Available
Louisiana,"Terrebonne Parish, LA",2019,1373,Not Available,Not Available
Louisiana,"Terrebonne Parish, LA",,5993,26.6,135.75
Louisiana,"Unidentified Counties, LA",2016,20434,13.26,70.98
Louisiana,"Unidentified Counties, LA",2017,19602,12.75,68.49
Louisiana,"Unidentified Counties, LA",2018,18874,4.05,20.37
Louisiana,"Unidentified Counties, LA",2019,18589,4,20.15
Louisiana,"Unidentified Counties, LA",,77499,6.26,31.98
Louisiana,,,242752,13,65.16
Maine,"Androscoggin County, ME",2016,1247,11.62,63.28
Maine,"Androscoggin County, ME",2017,1241,11.53,62.98
Maine,"Androscoggin County, ME",2018,1240,Not Available,Not Available
Maine,"Androscoggin County, ME",2019,1162,Not Available,Not Available
Maine,"Androscoggin County, ME",,4890,22.75,124.08
Maine,"Cumberland County, ME",2016,2830,9.69,51.39
Maine,"Cumberland County, ME",2017,2733,9.34,49.34
Maine,"Cumberland County, ME",2018,2717,Not Available,Not Available
Maine,"Cumberland County, ME",2019,2680,Not Available,Not Available
Maine,"Cumberland County, ME",,10960,18.75,99.22
Maine,"Kennebec County, ME",2016,1164,9.65,54.56
Maine,"Kennebec County, ME",2017,1132,9.29,53.28
Maine,"Kennebec County, ME",2018,1161,Not Available,Not Available
Maine,"Kennebec County, ME",2019,1109,Not Available,Not Available
Maine,"Kennebec County, ME",,4566,18.84,107.23
Maine,"Penobscot County, ME",2016,1483,9.77,52.09
Maine,"Penobscot County, ME",2017,1433,9.43,50.15
Maine,"Penobscot County, ME",2018,1376,Not Available,Not Available
Maine,"Penobscot County, ME",2019,1247,Not Available,Not Available
Maine,"Penobscot County, ME",,5539,18.23,97.1
Maine,"York County, ME",2016,1898,9.38,54.37
Maine,"York County, ME",2017,1812,8.87,51.75
Maine,"York County, ME",2018,1865,Not Available,Not Available
Maine,"York County, ME",2019,1794,Not Available,Not Available
Maine,"York County, ME",,7369,18.13,105.39
Maine,"Unidentified Counties, ME",2016,4083,8.93,56.83
Maine,"Unidentified Counties, ME",2017,3947,8.62,55.13
Maine,"Unidentified Counties, ME",2018,3952,2.95,17.1
Maine,"Unidentified Counties, ME",2019,3787,2.82,16.27
Maine,"Unidentified Counties, ME",,15769,4.38,25.96
Maine,,,49093,9.18,52.97
Maryland,"Anne Arundel County, MD",2016,6967,12.26,63.28
Maryland,"Anne Arundel County, MD",2017,6898,12.03,62.36
Maryland,"Anne Arundel County, MD",2018,6781,Not Available,Not Available
Maryland,"Anne Arundel County, MD",2019,6821,Not Available,Not Available
Maryland,"Anne Arundel County, MD",,27467,24.06,124.45
Maryland,"Baltimore County, MD",2016,9838,11.84,59.45
Maryland,"Baltimore County, MD",2017,9844,11.83,59.77
Maryland,"Baltimore County, MD",2018,9787,Not Available,Not Available
Maryland,"Baltimore County, MD",2019,9625,Not Available,Not Available
Maryland,"Baltimore County, MD",,39094,23.5,118.4
Maryland,"Carroll County, MD",2016,1737,10.36,59.69
Maryland,"Carroll County, MD",2017,1570,9.36,53.98
Maryland,"Carroll County, MD",2018,1776,Not Available,Not Available
Maryland,"Carroll County, MD",2019,1653,Not Available,Not Available
Maryland,"Carroll County, MD",,6736,20.08,115.77
Maryland,"Cecil County, MD",2016,1106,10.78,58.4
Maryland,"Cecil County, MD",2017,1145,11.14,61.19
Maryland,"Cecil County, MD",2018,1155,Not Available,Not Available
Maryland,"Cecil County, MD",2019,1166,Not Available,Not Available
Maryland,"Cecil County, MD",,4572,22.26,121.44
Maryland,"Charles County, MD",2016,1812,11.49,56.76
Maryland,"Charles County, MD",2017,1842,11.53,57.96
Maryland,"Charles County, MD",2018,1863,Not Available,Not Available
Maryland,"Charles County, MD",2019,1873,Not Available,Not Available
Maryland,"Charles County, MD",,7390,23.28,116.01
Maryland,"Frederick County, MD",2016,2839,11.47,60.04
Maryland,"Frederick County, MD",2017,2721,10.8,56.62
Maryland,"Frederick County, MD",2018,2969,Not Available,Not Available
Maryland,"Frederick County, MD",2019,2934,Not Available,Not Available
Maryland,"Frederick County, MD",,11463,22.94,120.23
Maryland,"Harford County, MD",2016,2699,10.75,58.27
Maryland,"Harford County, MD",2017,2624,10.41,56.66
Maryland,"Harford County, MD",2018,2638,Not Available,Not Available
Maryland,"Harford County, MD",2019,2689,Not Available,Not Available
Maryland,"Harford County, MD",,10650,21.16,114.97
Maryland,"Howard County, MD",2016,3569,11.25,57.43
Maryland,"Howard County, MD",2017,3528,10.99,56.06
Maryland,"Howard County, MD",2018,3405,Not Available,Not Available
Maryland,"Howard County, MD",2019,3351,Not Available,Not Available
