state,county,year,births,birthrate,fertilityrate
New Jersey,"Burlington County, NJ",2016,4419,9.84,54.9
New Jersey,"Burlington County, NJ",2017,4424,9.86,55
New Jersey,"Burlington County, NJ",2018,4365,,
New Jersey,"Burlington County, NJ",2019,4419,,
New Jersey,"Burlington County, NJ",,17627,19.63,109.53
New Jersey,"Camden County, NJ",2016,6226,12.2,62.4
New Jersey,"Camden County, NJ",2017,6022,11.79,60.32
New Jersey,"Camden County, NJ",2018,6157,,
New Jersey,"Camden County, NJ",2019,6123,,
New Jersey,"Camden County, NJ",,24528,24.03,122.88
New Jersey,"Cumberland County, NJ",2016,1876,12.2,67.25
New Jersey,"Cumberland County, NJ",2017,1839,12.06,67.13
New Jersey,"Cumberland County, NJ",2018,1917,,
New Jersey,"Cumberland County, NJ",2019,1832,,
New Jersey,"Cumberland County, NJ",,7464,24.37,135
New Jersey,"Essex County, NJ",2016,10442,13.1,63.25
New Jersey,"Essex County, NJ",2017,10298,12.74,61.6
New Jersey,"Essex County, NJ",2018,10425,,
New Jersey,"Essex County, NJ",2019,9917,,
New Jersey,"Essex County, NJ",,41082,25.59,123.64
New Jersey,"Gloucester County, NJ",2016,2837,9.7,51.22
New Jersey,"Gloucester County, NJ",2017,2891,9.89,52.35
New Jersey,"Gloucester County, NJ",2018,2762,,
New Jersey,"Gloucester County, NJ",2019,2923,,
New Jersey,"Gloucester County, NJ",,11413,19.52,103.18
New Jersey,"Hudson County, NJ",2016,10383,15.31,65.55
New Jersey,"Hudson County, NJ",2017,10165,14.7,63.11
New Jersey,"Hudson County, NJ",2018,10234,,
New Jersey,"Hudson County, NJ",2019,9975,,
New Jersey,"Hudson County, NJ",,40757,29.76,127.58
New Jersey,"Hunterdon County, NJ",2016,927,7.44,46.69
New Jersey,"Hunterdon County, NJ",2017,952,7.61,47.98
New Jersey,"Hunterdon County, NJ",2018,968,,
New Jersey,"Hunterdon County, NJ",2019,997,,
New Jersey,"Hunterdon County, NJ",,3844,15.39,96.84
New Jersey,"Mercer County, NJ",2016,4280,11.54,57.25
New Jersey,"Mercer County, NJ",2017,4081,10.89,53.97
New Jersey,"Mercer County, NJ",2018,3999,,
New Jersey,"Mercer County, NJ",2019,4103,,
New Jersey,"Mercer County, NJ",,16463,22.08,109.48
New Jersey,"Middlesex County, NJ",2016,9332,11.15,55.09
New Jersey,"Middlesex County, NJ",2017,9123,10.82,53.76
New Jersey,"Middlesex County, NJ",2018,8872,,
New Jersey,"Middlesex County, NJ",2019,8516,,
New Jersey,"Middlesex County, NJ",,35843,21.34,105.7
New Jersey,"Monmouth County, NJ",2016,5960,9.52,54.78
New Jersey,"Monmouth County, NJ",2017,5737,9.16,52.69
New Jersey,"Monmouth County, NJ",2018,5888,,
New Jersey,"Monmouth County, NJ",2019,5664,,
New Jersey,"Monmouth County, NJ",,23249,18.57,106.8
New Jersey,"Morris County, NJ",2016,4633,9.3,52.09
New Jersey,"Morris County, NJ",2017,4636,9.28,51.98
New Jersey,"Morris County, NJ",2018,4487,,
New Jersey,"Morris County, NJ",2019,4486,,
New Jersey,"Morris County, NJ",,18242,18.28,102.41
New Jersey,"Ocean County, NJ",2016,8566,14.46,90.73
New Jersey,"Ocean County, NJ",2017,8597,14.38,90.49
New Jersey,"Ocean County, NJ",2018,9015,,
New Jersey,"Ocean County, NJ",2019,9028,,
New Jersey,"Ocean County, NJ",,35206,29.57,185.86
New Jersey,"Passaic County, NJ",2016,6842,13.47,66.81
New Jersey,"Passaic County, NJ",2017,6790,13.25,66.17
New Jersey,"Passaic County, NJ",2018,6542,,
New Jersey,"Passaic County, NJ",2019,6394,,
New Jersey,"Passaic County, NJ",,26568,26.03,129.58
New Jersey,"Somerset County, NJ",2016,3251,9.74,53.31
New Jersey,"Somerset County, NJ",2017,3068,9.15,49.98
New Jersey,"Somerset County, NJ",2018,3210,,
New Jersey,"Somerset County, NJ",2019,3057,,
New Jersey,"Somerset County, NJ",,12586,18.81,102.85
New Jersey,"Sussex County, NJ",2016,1180,8.28,49.44
New Jersey,"Sussex County, NJ",2017,1213,8.56,51.28
New Jersey,"Sussex County, NJ",2018,1203,,
New Jersey,"Sussex County, NJ",2019,1209,,
New Jersey,"Sussex County, NJ",,4805,16.91,101.11
New Jersey,"Union County, NJ",2016,6756,12.16,62.02
New Jersey,"Union County, NJ",2017,6859,12.16,62.26
New Jersey,"Union County, NJ",2018,6777,,
New Jersey,"Union County, NJ",2019,6653,,
New Jersey,"Union County, NJ",,27045,24.16,123.44
New Jersey,"Warren County, NJ",2016,958,8.99,52.07
New Jersey,"Warren County, NJ",2017,935,8.75,51.01
New Jersey,"Warren County, NJ",2018,1020,,
New Jersey,"Warren County, NJ",2019,968,,
New Jersey,"Warren County, NJ",,3881,18.19,105.66
New Jersey,"Unidentified Counties, NJ",2016,1479,9.37,59.3
New Jersey,"Unidentified Counties, NJ",2017,1477,9.45,60
New Jersey,"Unidentified Counties, NJ",2018,1433,0.16,0.85
New Jersey,"Unidentified Counties, NJ",2019,1476,0.17,0.88
New Jersey,"Unidentified Counties, NJ",,5865,0.32,1.72
New Jersey,,,404705,11.32,59.68
New Mexico,"Bernalillo County, NM",2016,7574,11.19,55.87
New Mexico,"Bernalillo County, NM",2017,7436,10.99,54.95
New Mexico,"Bernalillo County, NM",2018,7078,,
New Mexico,"Bernalillo County, NM",2019,7005,,
New Mexico,"Bernalillo County, NM",,29093,21.49,107.4
New Mexico,"Dona Ana County, NM",2016,2839,13.25,63.24
New Mexico,"Dona Ana County, NM",2017,2674,12.4,58.7
New Mexico,"Dona Ana County, NM",2018,2587,,
New Mexico,"Dona Ana County, NM",2019,2631,,
New Mexico,"Dona Ana County, NM",,10731,24.97,118.65
New Mexico,"Sandoval County, NM",2016,1464,10.31,55.54
New Mexico,"Sandoval County, NM",2017,1412,9.91,53.46
New Mexico,"Sandoval County, NM",2018,1390,,
New Mexico,"Sandoval County, NM",2019,1380,,
New Mexico,"Sandoval County, NM",,5646,19.84,106.99
New Mexico,"San Juan County, NM",2016,1726,15,78.65
New Mexico,"San Juan County, NM",2017,1472,11.6,59.65
New Mexico,"San Juan County, NM",2018,1444,,
New Mexico,"San Juan County, NM",2019,1430,,
New Mexico,"San Juan County, NM",,6072,25.09,130.24
New Mexico,"Santa Fe County, NM",2016,1290,8.68,52.92
New Mexico,"Santa Fe County, NM",2017,1222,8.22,50.35
New Mexico,"Santa Fe County, NM",2018,1180,,
New Mexico,"Santa Fe County, NM",2019,1176,,
New Mexico,"Santa Fe County, NM",,4868,16.37,100.07
New Mexico,"Unidentified Counties, NM",2016,9799,12.5,69.56
New Mexico,"Unidentified Counties, NM",2017,9551,12.28,68.69
New Mexico,"Unidentified Counties, NM",2018,9360,4.47,23.55
New Mexico,"Unidentified Counties, NM",2019,9338,4.45,23.43
New Mexico,"Unidentified Counties, NM",,38048,6.61,35.37
New Mexico,,,94458,11.3,59.59
New York,"Albany County, NY",2016,3045,9.86,45.75
New York,"Albany County, NY",2017,3083,9.96,46.13
New York,"Albany County, NY",2018,2886,,
New York,"Albany County, NY",2019,2892,,
New York,"Albany County, NY",,11906,19.25,89.25
New York,"Bronx County, NY",2016,21161,14.54,64.91
New York,"Bronx County, NY",2017,20588,13.99,62.86
New York,"Bronx County, NY",2018,20121,,
New York,"Bronx County, NY",2019,19327,,
New York,"Bronx County, NY",,81197,27.74,124.25
New York,"Broome County, NY",2016,1985,10.16,52.72
New York,"Broome County, NY",2017,1979,10.22,53.02
New York,"Broome County, NY",2018,1877,,
New York,"Broome County, NY",2019,1964,,
New York,"Broome County, NY",,7805,20.07,104.1
New York,"Chautauqua County, NY",2016,1345,10.39,58.81
New York,"Chautauqua County, NY",2017,1344,10.41,59.26
New York,"Chautauqua County, NY",2018,1299,,
New York,"Chautauqua County, NY",2019,1335,,
New York,"Chautauqua County, NY",,5323,20.59,116.86
New York,"Dutchess County, NY",2016,2519,8.55,46.44
New York,"Dutchess County, NY",2017,2604,8.81,47.69
New York,"Dutchess County, NY",2018,2549,,
New York,"Dutchess County, NY",2019,2701,,
New York,"Dutchess County, NY",,10373,17.58,95.3
New York,"Erie County, NY",2016,9916,10.77,56.4
New York,"Erie County, NY",2017,9870,10.66,55.84
New York,"Erie County, NY",2018,9812,,
New York,"Erie County, NY",2019,9698,,
New York,"Erie County, NY",,39296,21.28,111.46
New York,"Jefferson County, NY",2016,1891,16.59,87.38
New York,"Jefferson County, NY",2017,2009,17.59,92.52
New York,"Jefferson County, NY",2018,1864,,
New York,"Jefferson County, NY",2019,1807,,
New York,"Jefferson County, NY",,7571,33.18,174.63
New York,"Kings County, NY",2016,40802,15.52,67.78
New York,"Kings County, NY",2017,39192,14.8,65.09
New York,"Kings County, NY",2018,38574,,
New York,"Kings County, NY",2019,37153,,
New York,"Kings County, NY",,155721,29.5,129.33
New York,"Monroe County, NY",2016,8004,10.7,54.02
New York,"Monroe County, NY",2017,7893,10.56,53.22
New York,"Monroe County, NY",2018,7772,,
New York,"Monroe County, NY",2019,7913,,
New York,"Monroe County, NY",,31582,21.12,106.53
New York,"Nassau County, NY",2016,14329,10.52,57.91
New York,"Nassau County, NY",2017,14178,10.35,56.98
New York,"Nassau County, NY",2018,14128,,
New York,"Nassau County, NY",2019,13810,,
New York,"Nassau County, NY",,56445,20.67,113.74
New York,"New York County, NY",2016,17587,10.7,42.35
New York,"New York County, NY",2017,17504,10.51,42.2
New York,"New York County, NY",2018,17020,,
New York,"New York County, NY",2019,16577,,
New York,"New York County, NY",,68688,20.76,82.75
New York,"Niagara County, NY",2016,2139,10.1,56.68
New York,"Niagara County, NY",2017,2114,10,56.42
New York,"Niagara County, NY",2018,2100,,
New York,"Niagara County, NY",2019,2066,,
New York,"Niagara County, NY",,8419,19.9,111.94
New York,"Oneida County, NY",2016,2497,10.8,61.27
New York,"Oneida County, NY",2017,2555,11.04,62.83
New York,"Oneida County, NY",2018,2500,,
New York,"Oneida County, NY",2019,2489,,
New York,"Oneida County, NY",,10041,21.71,123.33
New York,"Onondaga County, NY",2016,5242,11.24,56.94
New York,"Onondaga County, NY",2017,5052,10.86,55.14
New York,"Onondaga County, NY",2018,5236,,
New York,"Onondaga County, NY",2019,5051,,
New York,"Onondaga County, NY",,20581,22.09,112.05
New York,"Ontario County, NY",2016,997,9.08,52.55
New York,"Ontario County, NY",2017,984,8.95,52.1
New York,"Ontario County, NY",2018,966,,
New York,"Ontario County, NY",2019,964,,
New York,"Ontario County, NY",,3911,17.8,103.3
New York,"Orange County, NY",2016,4993,13.17,70.91
New York,"Orange County, NY",2017,5092,13.32,72.2
New York,"Orange County, NY",2018,5065,,
New York,"Orange County, NY",2019,5199,,
New York,"Orange County, NY",,20349,26.72,144.37
New York,"Oswego County, NY",2016,1331,11.19,59.87
New York,"Oswego County, NY",2017,1248,10.53,56.56
New York,"Oswego County, NY",2018,1217,,
New York,"Oswego County, NY",2019,1233,,
New York,"Oswego County, NY",,5029,21.18,113.53
New York,"Queens County, NY",2016,30377,13.02,61.91
New York,"Queens County, NY",2017,29008,12.3,59.15
New York,"Queens County, NY",2018,28042,,
New York,"Queens County, NY",2019,27063,,
New York,"Queens County, NY",,114490,24.4,116.7
New York,"Rensselaer County, NY",2016,1726,10.78,56.27
New York,"Rensselaer County, NY",2017,1589,9.95,51.79
New York,"Rensselaer County, NY",2018,1591,,
New York,"Rensselaer County, NY",2019,1608,,
New York,"Rensselaer County, NY",,6514,20.37,106.16
New York,"Richmond County, NY",2016,5464,11.48,59.35
New York,"Richmond County, NY",2017,5444,11.35,58.94
New York,"Richmond County, NY",2018,5186,,
New York,"Richmond County, NY",2019,5283,,
New York,"Richmond County, NY",,21377,22.37,115.91
New York,"Rockland County, NY",2016,5440,16.65,92.44
New York,"Rockland County, NY",2017,5481,16.67,92.52
New York,"Rockland County, NY",2018,5719,,
New York,"Rockland County, NY",2019,5714,,
New York,"Rockland County, NY",,22354,34.09,189.3
New York,"St. Lawrence County, NY",2016,1083,9.84,52.28
New York,"St. Lawrence County, NY",2017,1038,9.47,50.9
New York,"St. Lawrence County, NY",2018,1080,,
New York,"St. Lawrence County, NY",2019,984,,
New York,"St. Lawrence County, NY",,4185,19.05,101.8
New York,"Saratoga County, NY",2016,2210,9.73,54.14
New York,"Saratoga County, NY",2017,2135,9.29,51.96
New York,"Saratoga County, NY",2018,2022,,
New York,"Saratoga County, NY",2019,2062,,
New York,"Saratoga County, NY",,8429,18.45,102.91
New York,"Schenectady County, NY",2016,1770,11.45,60.23
New York,"Schenectady County, NY",2017,1814,11.66,61.36
New York,"Schenectady County, NY",2018,1840,,
New York,"Schenectady County, NY",2019,1798,,
New York,"Schenectady County, NY",,7222,23.29,122.51
New York,"Suffolk County, NY",2016,15559,10.42,57.41
New York,"Suffolk County, NY",2017,15359,10.29,56.96
New York,"Suffolk County, NY",2018,15278,,
New York,"Suffolk County, NY",2019,15036,,
New York,"Suffolk County, NY",,61232,20.51,113.25
New York,"Tompkins County, NY",2016,787,7.5,28.62
New York,"Tompkins County, NY",2017,767,7.32,27.84
New York,"Tompkins County, NY",2018,735,,
New York,"Tompkins County, NY",2019,704,,
New York,"Tompkins County, NY",,2993,14.27,54.37
New York,"Ulster County, NY",2016,1482,8.27,46.69
New York,"Ulster County, NY",2017,1453,8.1,45.7
New York,"Ulster County, NY",2018,1546,,
New York,"Ulster County, NY",2019,1526,,
New York,"Ulster County, NY",,6007,16.75,94.54
New York,"Westchester County, NY",2016,10280,10.55,56.44
New York,"Westchester County, NY",2017,10400,10.61,56.89
New York,"Westchester County, NY",2018,10091,,
New York,"Westchester County, NY",2019,9880,,
New York,"Westchester County, NY",,40651,20.8,111.39
New York,"Unidentified Counties, NY",2016,18322,9.7,56.25
New York,"Unidentified Counties, NY",2017,17960,9.54,55.63
New York,"Unidentified Counties, NY",2018,18122,0.93,4.64
New York,"Unidentified Counties, NY",2019,17702,0.91,4.57
New York,"Unidentified Counties, NY",,72106,1.69,8.55
New York,,,911797,11.6,57.77
North Carolina,"Alamance County, NC",2016,1856,11.62,59.05
North Carolina,"Alamance County, NC",2017,1940,11.95,61.07
North Carolina,"Alamance County, NC",2018,1958,,
North Carolina,"Alamance County, NC",2019,1863,,
North Carolina,"Alamance County, NC",,7617,23.65,120.52
North Carolina,"Brunswick County, NC",2016,978,7.7,55.35
North Carolina,"Brunswick County, NC",2017,1008,7.7,56.62
North Carolina,"Brunswick County, NC",2018,987,,
North Carolina,"Brunswick County, NC",2019,1026,,
North Carolina,"Brunswick County, NC",,3999,15.51,112.73
North Carolina,"Buncombe County, NC",2016,2595,10.13,52.56
North Carolina,"Buncombe County, NC",2017,2393,9.29,47.99
North Carolina,"Buncombe County, NC",2018,2482,,
North Carolina,"Buncombe County, NC",2019,2463,,
North Carolina,"Buncombe County, NC",,9933,19.34,100.09
North Carolina,"Cabarrus County, NC",2016,2477,12.29,61.44
North Carolina,"Cabarrus County, NC",2017,2593,12.53,62.68
North Carolina,"Cabarrus County, NC",2018,2509,,
North Carolina,"Cabarrus County, NC",2019,2538,,
North Carolina,"Cabarrus County, NC",,10117,24.77,123.86
North Carolina,"Catawba County, NC",2016,1664,10.64,58.76
North Carolina,"Catawba County, NC",2017,1652,10.46,57.88
North Carolina,"Catawba County, NC",2018,1693,,
North Carolina,"Catawba County, NC",2019,1687,,
North Carolina,"Catawba County, NC",,6696,21.3,117.75
North Carolina,"Craven County, NC",2016,1438,13.9,77.59
North Carolina,"Craven County, NC",2017,1386,13.51,75.95
North Carolina,"Craven County, NC",2018,1337,,
North Carolina,"Craven County, NC",2019,1319,,
North Carolina,"Craven County, NC",,5480,26.6,148.98
North Carolina,"Cumberland County, NC",2016,5446,16.65,76.32
North Carolina,"Cumberland County, NC",2017,5506,16.56,76.97
North Carolina,"Cumberland County, NC",2018,5401,,
North Carolina,"Cumberland County, NC",2019,5462,,
North Carolina,"Cumberland County, NC",,21815,33.07,152.67
North Carolina,"Davidson County, NC",2016,1771,10.74,60.7
North Carolina,"Davidson County, NC",2017,1761,10.64,60.6
North Carolina,"Davidson County, NC",2018,1751,,
North Carolina,"Davidson County, NC",2019,1775,,
North Carolina,"Davidson County, NC",,7058,21.36,121.2
North Carolina,"Durham County, NC",2016,4346,14.19,60.55
North Carolina,"Durham County, NC",2017,4181,13.42,57.62
North Carolina,"Durham County, NC",2018,4152,,
North Carolina,"Durham County, NC",2019,4158,,
North Carolina,"Durham County, NC",,16837,27.25,116.66
North Carolina,"Forsyth County, NC",2016,4496,12.1,59.78
North Carolina,"Forsyth County, NC",2017,4368,11.61,57.57
North Carolina,"Forsyth County, NC",2018,4330,,
North Carolina,"Forsyth County, NC",2019,4410,,
North Carolina,"Forsyth County, NC",,17604,23.54,116.52
North Carolina,"Gaston County, NC",2016,2524,11.63,60.56
North Carolina,"Gaston County, NC",2017,2588,11.75,61.43
North Carolina,"Gaston County, NC",2018,2525,,
North Carolina,"Gaston County, NC",2019,2598,,
North Carolina,"Gaston County, NC",,10235,23.41,122.13
North Carolina,"Guilford County, NC",2016,6259,12.01,56.08
North Carolina,"Guilford County, NC",2017,6218,11.8,55.33
North Carolina,"Guilford County, NC",2018,6115,,
North Carolina,"Guilford County, NC",2019,6045,,
North Carolina,"Guilford County, NC",,24637,23.5,110
North Carolina,"Harnett County, NC",2016,1861,14.22,67.62
North Carolina,"Harnett County, NC",2017,1886,14.21,67.89
North Carolina,"Harnett County, NC",2018,1845,,
North Carolina,"Harnett County, NC",2019,1860,,
North Carolina,"Harnett County, NC",,7452,28.27,134.75
North Carolina,"Henderson County, NC",2016,1089,9.54,60.84
North Carolina,"Henderson County, NC",2017,1040,8.99,57.02
North Carolina,"Henderson County, NC",2018,1093,,
North Carolina,"Henderson County, NC",2019,1022,,
North Carolina,"Henderson County, NC",,4244,18.46,117.44
North Carolina,"Iredell County, NC",2016,1923,11.12,60.26
North Carolina,"Iredell County, NC",2017,1858,10.57,57.65
North Carolina,"Iredell County, NC",2018,1891,,
North Carolina,"Iredell County, NC",2019,1883,,
North Carolina,"Iredell County, NC",,7555,21.67,117.78
North Carolina,"Johnston County, NC",2016,2336,12.2,63.13
North Carolina,"Johnston County, NC",2017,2318,11.78,61.14
North Carolina,"Johnston County, NC",2018,2299,,
North Carolina,"Johnston County, NC",2019,2522,,
North Carolina,"Johnston County, NC",,9475,24.41,126.47
North Carolina,"Mecklenburg County, NC",2016,14881,14.11,61.58
North Carolina,"Mecklenburg County, NC",2017,14753,13.7,60.02
North Carolina,"Mecklenburg County, NC",2018,14650,,
North Carolina,"Mecklenburg County, NC",2019,14401,,
North Carolina,"Mecklenburg County, NC",,58685,27.53,120.4
North Carolina,"New Hanover County, NC",2016,2241,10.03,47.02
North Carolina,"New Hanover County, NC",2017,2267,9.98,47.06
North Carolina,"New Hanover County, NC",2018,2145,,
North Carolina,"New Hanover County, NC",2019,2172,,
North Carolina,"New Hanover County, NC",,8825,19.58,92.08
North Carolina,"Onslow County, NC",2016,3960,21.16,99.91
North Carolina,"Onslow County, NC",2017,4061,20.94,101.28
North Carolina,"Onslow County, NC",2018,3923,,
North Carolina,"Onslow County, NC",2019,3820,,
North Carolina,"Onslow County, NC",,15764,41.37,197.72
North Carolina,"Orange County, NC",2016,1166,8.22,33.95
North Carolina,"Orange County, NC",2017,1179,8.13,33.87
North Carolina,"Orange County, NC",2018,1134,,
North Carolina,"Orange County, NC",2019,1163,,
North Carolina,"Orange County, NC",,4642,16.19,67.13
North Carolina,"Pitt County, NC",2016,2023,11.42,45.61
North Carolina,"Pitt County, NC",2017,2051,11.46,46.18
North Carolina,"Pitt County, NC",2018,2085,,
North Carolina,"Pitt County, NC",2019,2079,,
North Carolina,"Pitt County, NC",,8238,23.12,92.8
North Carolina,"Randolph County, NC",2016,1600,11.16,62.68
North Carolina,"Randolph County, NC",2017,1576,11,62.14
North Carolina,"Randolph County, NC",2018,1520,,
North Carolina,"Randolph County, NC",2019,1546,,
North Carolina,"Randolph County, NC",,6242,21.77,122.66
North Carolina,"Robeson County, NC",2016,1775,13.32,65.87
North Carolina,"Robeson County, NC",2017,1782,13.44,67.48
North Carolina,"Robeson County, NC",2018,1699,,
North Carolina,"Robeson County, NC",2019,1731,,
North Carolina,"Robeson County, NC",,6987,26.28,130.95
North Carolina,"Rowan County, NC",2016,1651,11.8,64.81
North Carolina,"Rowan County, NC",2017,1587,11.28,62.15
North Carolina,"Rowan County, NC",2018,1593,,
North Carolina,"Rowan County, NC",2019,1548,,
North Carolina,"Rowan County, NC",,6379,22.74,125.06
North Carolina,"Union County, NC",2016,2415,10.66,55.27
North Carolina,"Union County, NC",2017,2382,10.3,53.8
North Carolina,"Union County, NC",2018,2456,,
North Carolina,"Union County, NC",2019,2278,,
North Carolina,"Union County, NC",,9531,20.81,108.35
North Carolina,"Wake County, NC",2016,13018,12.44,56.62
North Carolina,"Wake County, NC",2017,12682,11.83,54.25
North Carolina,"Wake County, NC",2018,12578,,
North Carolina,"Wake County, NC",2019,12688,,
North Carolina,"Wake County, NC",,50966,24.05,109.91
North Carolina,"Wayne County, NC",2016,1636,13.18,69.76
North Carolina,"Wayne County, NC",2017,1611,12.97,69.39
North Carolina,"Wayne County, NC",2018,1639,,
North Carolina,"Wayne County, NC",2019,1619,,
North Carolina,"Wayne County, NC",,6505,26.2,139.39
North Carolina,"Unidentified Counties, NC",2016,31354,10.36,60.4
North Carolina,"Unidentified Counties, NC",2017,31498,10.38,60.86
North Carolina,"Unidentified Counties, NC",2018,31164,3,15.3
North Carolina,"Unidentified Counties, NC",2019,31049,2.96,15.1
North Carolina,"Unidentified Counties, NC",,125065,4.64,24.38
North Carolina,,,478583,11.59,58.99
North Dakota,"Cass County, ND",2016,2639,15.06,65.75
North Dakota,"Cass County, ND",2017,2534,14.25,62.3
North Dakota,"Cass County, ND",2018,2453,,
North Dakota,"Cass County, ND",2019,2444,,
North Dakota,"Cass County, ND",,10070,28.52,124.61
North Dakota,"Unidentified Counties, ND",2016,8744,15.01,81.58
North Dakota,"Unidentified Counties, ND",2017,8203,14.2,77.67
North Dakota,"Unidentified Counties, ND",2018,8183,10.77,55.52
North Dakota,"Unidentified Counties, ND",2019,8010,10.51,54.07
North Dakota,"Unidentified Counties, ND",,33140,12.35,65.19
North Dakota,,,43210,14.23,73.34
Ohio,"Allen County, OH",2016,1257,12.12,68.04
Ohio,"Allen County, OH",2017,1244,12.05,68.03
Ohio,"Allen County, OH",2018,1248,,
Ohio,"Allen County, OH",2019,1268,,
Ohio,"Allen County, OH",,5017,24.24,136.48
Ohio,"Ashtabula County, OH",2016,1075,10.94,66.48
Ohio,"Ashtabula County, OH",2017,1149,11.75,71.56
Ohio,"Ashtabula County, OH",2018,1108,,
Ohio,"Ashtabula County, OH",2019,1085,,
Ohio,"Ashtabula County, OH",,4417,22.53,137.06
Ohio,"Butler County, OH",2016,4452,11.79,58.26
Ohio,"Butler County, OH",2017,4466,11.73,58.01
Ohio,"Butler County, OH",2018,4472,,
Ohio,"Butler County, OH",2019,4446,,
Ohio,"Butler County, OH",,17836,23.53,116.26
Ohio,"Clark County, OH",2016,1532,11.37,63.37
Ohio,"Clark County, OH",2017,1614,11.99,66.17
Ohio,"Clark County, OH",2018,1552,,
Ohio,"Clark County, OH",2019,1572,,
Ohio,"Clark County, OH",,6270,23.28,129.1
Ohio,"Clermont County, OH",2016,2293,11.29,61.86
Ohio,"Clermont County, OH",2017,2311,11.32,62.24
Ohio,"Clermont County, OH",2018,2310,,
Ohio,"Clermont County, OH",2019,2234,,
Ohio,"Clermont County, OH",,9148,22.46,123.3
Ohio,"Columbiana County, OH",2016,1070,10.32,64.01
Ohio,"Columbiana County, OH",2017,1025,9.94,62.18
Ohio,"Columbiana County, OH",2018,982,,
Ohio,"Columbiana County, OH",2019,1020,,
Ohio,"Columbiana County, OH",,4097,19.82,123.4
Ohio,"Cuyahoga County, OH",2016,14758,11.81,61.25
Ohio,"Cuyahoga County, OH",2017,14550,11.65,60.59
Ohio,"Cuyahoga County, OH",2018,13870,,
Ohio,"Cuyahoga County, OH",2019,13935,,
Ohio,"Cuyahoga County, OH",,57113,22.86,118.72
Ohio,"Delaware County, OH",2016,2079,10.58,55.74
Ohio,"Delaware County, OH",2017,2074,10.35,55.06
Ohio,"Delaware County, OH",2018,2106,,
Ohio,"Delaware County, OH",2019,2120,,
Ohio,"Delaware County, OH",,8379,21.11,111.77
Ohio,"Fairfield County, OH",2016,1629,10.68,58.21
Ohio,"Fairfield County, OH",2017,1755,11.34,62.01
Ohio,"Fairfield County, OH",2018,1669,,
Ohio,"Fairfield County, OH",2019,1733,,
Ohio,"Fairfield County, OH",,6786,22.08,120.56
Ohio,"Franklin County, OH",2016,19045,15.06,66.96
Ohio,"Franklin County, OH",2017,18886,14.62,64.78
Ohio,"Franklin County, OH",2018,18338,,
Ohio,"Franklin County, OH",2019,18400,,
Ohio,"Franklin County, OH",,74669,29.21,129.64
Ohio,"Greene County, OH",2016,1808,10.97,55.23
Ohio,"Greene County, OH",2017,1744,10.46,52.57
Ohio,"Greene County, OH",2018,1720,,
Ohio,"Greene County, OH",2019,1739,,
Ohio,"Greene County, OH",,7011,21.15,106.37
Ohio,"Hamilton County, OH",2016,10820,13.37,66.53
Ohio,"Hamilton County, OH",2017,10833,13.31,66.06
Ohio,"Hamilton County, OH",2018,10835,,
Ohio,"Hamilton County, OH",2019,10676,,
Ohio,"Hamilton County, OH",,43164,26.6,132.16
Ohio,"Lake County, OH",2016,2163,9.46,55.31
Ohio,"Lake County, OH",2017,2198,9.55,55.86
Ohio,"Lake County, OH",2018,2212,,
Ohio,"Lake County, OH",2019,2181,,
Ohio,"Lake County, OH",,8754,19.08,111.58
Ohio,"Licking County, OH",2016,2075,12.05,65.11
Ohio,"Licking County, OH",2017,1866,10.76,58.38
Ohio,"Licking County, OH",2018,1991,,
Ohio,"Licking County, OH",2019,1989,,
Ohio,"Licking County, OH",,7921,22.92,124.09
Ohio,"Lorain County, OH",2016,3295,10.76,60.5
Ohio,"Lorain County, OH",2017,3183,10.34,58.39
Ohio,"Lorain County, OH",2018,3199,,
Ohio,"Lorain County, OH",2019,3256,,
Ohio,"Lorain County, OH",,12933,21.05,118.67
Ohio,"Lucas County, OH",2016,5627,13.01,66.79
Ohio,"Lucas County, OH",2017,5445,12.64,65.01
Ohio,"Lucas County, OH",2018,5418,,
Ohio,"Lucas County, OH",2019,5229,,
Ohio,"Lucas County, OH",,21719,25.16,129.27
Ohio,"Mahoning County, OH",2016,2506,10.9,63.71
Ohio,"Mahoning County, OH",2017,2458,10.7,62.52
Ohio,"Mahoning County, OH",2018,2344,,
Ohio,"Mahoning County, OH",2019,2434,,
Ohio,"Mahoning County, OH",,9742,21.19,123.86
Ohio,"Medina County, OH",2016,1816,10.25,58.7
Ohio,"Medina County, OH",2017,1720,9.64,55.42
Ohio,"Medina County, OH",2018,1675,,
Ohio,"Medina County, OH",2019,1688,,
Ohio,"Medina County, OH",,6899,19.4,111.32
Ohio,"Miami County, OH",2016,1227,11.72,67.39
Ohio,"Miami County, OH",2017,1154,10.98,63.11
Ohio,"Miami County, OH",2018,1180,,
Ohio,"Miami County, OH",2019,1238,,
Ohio,"Miami County, OH",,4799,22.87,131.5
Ohio,"Montgomery County, OH",2016,6631,12.48,65.46
Ohio,"Montgomery County, OH",2017,6730,12.66,66.47
Ohio,"Montgomery County, OH",2018,6480,,
Ohio,"Montgomery County, OH",2019,6395,,
Ohio,"Montgomery County, OH",,26236,24.69,129.53
Ohio,"Portage County, OH",2016,1441,8.9,41.93
Ohio,"Portage County, OH",2017,1351,8.33,39.2
Ohio,"Portage County, OH",2018,1392,,
Ohio,"Portage County, OH",2019,1355,,
Ohio,"Portage County, OH",,5539,17.09,80.47
